,Words,Frequency,Rank,R x Freq,Probability
0,wikimedia,2111,1,2111,0.229407
1,information,1793,2,3586,0.194849
2,acm,1466,3,4398,0.159313
3,policy,1218,4,4872,0.132363
4,use,1191,5,5955,0.129428
5,privacy,929,6,5574,0.100956
6,may,906,7,6342,0.098457
7,sites,882,8,7056,0.095849
8,personal,716,9,6444,0.077809
9,wikipedia,685,10,6850,0.07444
10,language,660,11,7260,0.071724
12,page,644,12,7728,0.069985
11,programming,644,13,8372,0.069985
13,us,591,14,8274,0.064225
14,foundation,562,15,8430,0.061074
15,view,518,16,8288,0.056292
16,data,501,17,8517,0.054445
17,access,460,18,8280,0.049989
18,de,442,19,8398,0.048033
19,computing,425,20,8500,0.046186
20,user,425,21,8925,0.046186
21,terms,414,22,9108,0.04499
22,please,389,23,8947,0.042273
23,services,389,24,9336,0.042273
25,content,388,25,9700,0.042165
24,general,388,26,10088,0.042165
26,languages,376,27,10152,0.040861
27,public,361,28,10108,0.039231
28,help,358,29,10382,0.038905
29,contact,355,30,10650,0.038579
30,users,354,31,10974,0.03847
31,used,348,32,11136,0.037818
32,क,343,33,11319,0.037275
33,source,338,34,11492,0.036731
34,mediawiki,322,35,11270,0.034992
35,english,320,36,11520,0.034775
37,cookies,317,37,11729,0.034449
36,purpose,317,38,12046,0.034449
38,new,316,39,12324,0.03434
39,edit,313,40,12520,0.034014
40,community,313,41,12833,0.034014
41,account,307,42,12894,0.033362
42,changes,307,43,13201,0.033362
43,learn,303,44,13332,0.032928
44,address,303,45,13635,0.032928
45,projects,303,46,13938,0.032928
46,also,296,47,13912,0.032167
47,cookie,290,48,13920,0.031515
48,third,289,49,14161,0.031406
49,receive,288,50,14400,0.031298
50,search,278,51,14178,0.030211
51,policies,277,52,14404,0.030102
53,tools,274,53,14522,0.029776
52,see,274,54,14796,0.029776
54,share,272,55,14960,0.029559
55,provide,271,56,15176,0.02945
56,email,271,57,15447,0.02945
57,free,267,58,15486,0.029015
58,create,266,59,15694,0.028907
59,code,264,60,15840,0.028689
60,site,262,61,15982,0.028472
61,mobile,262,62,16244,0.028472
63,protected,260,63,16380,0.028255
62,template,260,64,16640,0.028255
64,like,259,65,16835,0.028146
65,special,254,66,16764,0.027603
66,using,254,67,17018,0.027603
67,pages,248,68,16864,0.026951
68,navigation,247,69,17043,0.026842
69,स,247,70,17290,0.026842
70,make,244,71,17324,0.026516
71,य,241,72,17352,0.02619
72,time,239,73,17447,0.025973
73,systems,236,74,17464,0.025647
75,collapsed,234,75,17550,0.025429
74,expanded,234,76,17784,0.025429
76,wiki,232,77,17864,0.025212
77,contributions,228,78,17784,0.024777
78,available,220,79,17380,0.023908
79,software,219,80,17520,0.023799
80,top,218,81,17658,0.023691
81,न,217,82,17794,0.023582
82,प,209,83,17347,0.022712
83,google,208,84,17472,0.022604
84,द,207,85,17595,0.022495
85,support,207,86,17802,0.022495
87,interest,205,87,17835,0.022278
86,ip,205,88,18040,0.022278
88,computer,204,89,18156,0.022169
89,technologies,204,90,18360,0.022169
90,php,202,91,18382,0.021952
91,service,202,92,18584,0.021952
92,र,202,93,18786,0.021952
93,read,198,94,18612,0.021517
94,get,197,95,18715,0.021408
95,back,195,96,18720,0.021191
96,commons,189,97,18333,0.020539
97,module,187,98,18326,0.020322
98,scholar,186,99,18414,0.020213
99,digital,186,100,18600,0.020213