,words,Frequency,Rank,R x Freq,Probability
0,سی,1181,1,1181,0.370568
1,می,908,2,1816,0.284907
2,های,522,3,1566,0.16379
3,برای,452,4,1808,0.141826
4,این,409,5,2045,0.128334
5,فارسی,405,6,2430,0.127079
6,سایت,386,7,2702,0.121117
7,کند,258,8,2064,0.080954
8,کنید,243,9,2187,0.076247
9,اکتبر,221,10,2210,0.069344
10,مهر,217,11,2387,0.068089
11,برنامه,198,12,2376,0.062127
12,ایران,192,13,2496,0.060245
13,کرونا,187,14,2618,0.058676
14,صفحه,164,15,2460,0.051459
15,اطلاعات,163,16,2608,0.051145
16,محتوای,132,17,2244,0.041418
17,شرایط,131,18,2358,0.041104
18,تلویزیون,120,19,2280,0.037653
19,ممکن,120,20,2400,0.037653
20,افغانستان,117,21,2457,0.036712
21,ارائه,112,22,2464,0.035143
22,مطالب,109,23,2507,0.034201
23,ای,104,24,2496,0.032633
24,نمی,104,25,2600,0.032633
25,سال,100,26,2600,0.031377
26,پخش,96,27,2592,0.030122
27,رادیو,96,28,2688,0.030122
28,جهان,96,29,2784,0.030122
29,bbc,93,30,2790,0.029181
30,کرد,93,31,2883,0.029181
31,نرم,92,32,2944,0.028867
32,نیست,90,33,2970,0.02824
33,مخاطبان,89,34,3026,0.027926
34,کنیم,88,35,3080,0.027612
35,ویروس,87,36,3132,0.027298
36,اجازه,85,37,3145,0.026671
38,افزار,84,38,3192,0.026357
37,ناظران,84,39,3276,0.026357
39,باید,82,40,3280,0.02573
40,بخش,82,41,3362,0.02573
41,ویدیو,81,42,3402,0.025416
42,ساعت,81,43,3483,0.025416
43,گویند,80,44,3520,0.025102
44,گزارش,80,45,3600,0.025102
45,جمله,79,46,3634,0.024788
46,نیز,79,47,3713,0.024788
47,سیاست,78,48,3744,0.024474
48,شخصی,78,49,3822,0.024474
49,news,73,50,3650,0.022906
50,کار,72,51,3672,0.022592
51,کردن,71,52,3692,0.022278
52,روی,70,53,3710,0.021964
53,زیر,69,54,3726,0.02165
54,نظر,67,55,3685,0.021023
55,انگلیسی,66,56,3696,0.020709
56,دیدار,65,57,3705,0.020395
57,بررسی,65,58,3770,0.020395
58,روز,65,59,3835,0.020395
59,بریتانیا,65,60,3900,0.020395
60,الکتریکی,65,61,3965,0.020395
61,زبان,65,62,4030,0.020395
65,شامل,64,63,4032,0.020082
64,خبری,64,64,4096,0.020082
62,خبر,64,65,4160,0.020082
63,کنند,64,66,4224,0.020082
66,امنیت,62,67,4154,0.019454
67,هایی,62,68,4216,0.019454
68,موارد,62,69,4278,0.019454
69,لطفا,61,70,4270,0.01914
70,محتوا,60,71,4260,0.018826
71,قرار,60,72,4320,0.018826
72,زنده,59,73,4307,0.018513
73,دانش,58,74,4292,0.018199
74,نتیجه,58,75,4350,0.018199
77,طالبان,57,76,4332,0.017885
75,آمریکا,57,77,4389,0.017885
76,کرده,57,78,4446,0.017885
79,ورزش,56,79,4424,0.017571
80,دست,56,80,4480,0.017571
81,انجمن,56,81,4536,0.017571
78,هنر,56,82,4592,0.017571
82,بیشتر,55,83,4565,0.017258
83,کودکان,54,84,4536,0.016944
84,جهانی,54,85,4590,0.016944
85,اقتصاد,53,86,4558,0.01663
86,اینترنتی,53,87,4611,0.01663
87,بین,52,88,4576,0.016316
90,نباید,50,89,4450,0.015689
88,ملی,50,90,4500,0.015689
89,انقلاب,50,91,4550,0.015689
91,رسید,49,92,4508,0.015375
92,اینکه,49,93,4557,0.015375
93,تغییر,49,94,4606,0.015375
94,ايران,48,95,4560,0.015061
95,جمهوری,48,96,4608,0.015061
96,تلاش,48,97,4656,0.015061
97,کوکی,48,98,4704,0.015061
98,سردبیری,48,99,4752,0.015061
99,حفظ,46,100,4600,0.014434